UserName;AlarmDetail;SystemDate;Company;ActivityDescription;Severity
rsayin;Alert Description: Trigger Activities - All Database | Alert ID: 547236 | DB User Name: \ user56;27.01.2025 22:19;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
audituser;Alert Description: Authorized User Changed | Alert ID: 545588 | DB User Name: \ user476;13.02.2026 01:47;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
keskinme;Alert Description: Authorized User Changed | Alert ID: 517503 | DB User Name: \ user391;9.08.2026 17:12;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
dbuser29;Alert Description: Authorized User Changed | Alert ID: 568759 | DB User Name: \ user215;29.10.2025 19:13;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
admin83;ATLAS Kritik Objeler;30.06.2026 10:18;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
audituser;Alert Description: Authorized User Changed | Alert ID: 513508 | DB User Name: \ user151;8.07.2025 13:10;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
dbuser3;Alert Description: Authorized User Changed | Alert ID: 514554 | DB User Name: \ user299;10.07.2025 06:47;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
dbuser12;Alert Description: Trigger Activities - All Database | Alert ID: 561940 | DB User Name: \ user320;13.06.2026 16:00;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
admin93;ATLAS Kritik Objeler;17.10.2025 10:06;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
tyilmaz;Alert Description: Authorized User Changed | Alert ID: 527304 | DB User Name: \ user458;30.04.2025 06:03;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
tyilmaz;DENIZ Kritik Objeler;18.01.2026 00:30;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
rsayin;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user372;3.09.2025 01:50;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
scakici;Alert Description: Authorized User Changed | Alert ID: 511902 | DB User Name: \ user124;30.08.2025 01:03;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
appuser;Alert Description: Trigger Activities - All Database | Alert ID: 558611 | DB User Name: \ user264;4.07.2025 12:06;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
appuser;Alert Description: Trigger Activities - All Database | Alert ID: 532171 | DB User Name: \ user390;4.04.2025 15:04;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
rsayin;SRVDNZ Kritik Objeler;4.05.2025 10:40;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
rsayin;Alert Description: Trigger Activities - All Database | Alert ID: 503892 | DB User Name: \ user29;24.05.2025 11:59;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
scakici;Alert Description: KT Yakut Kritik Objeler | Alert ID: 532969 | DB User Name: \ user337;20.07.2025 00:08;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
dbuser88;SRVDNZ Kritik Objeler;23.08.2025 21:46;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
audituser;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user482;5.05.2025 08:08;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
appuser;Alert Description: Trigger Activities - All Database | Alert ID: 580250 | DB User Name: \ user93;26.02.2025 01:23;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
keskinme;Alert Description: Authorized User Changed | Alert ID: 588065 | DB User Name: \ user495;19.08.2026 08:17;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
dbuser10;SRVDNZ Kritik Objeler;22.10.2025 14:43;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
appuser;Alert Description: Authorized User Changed | Alert ID: 514845 | DB User Name: \ user252;7.01.2026 06:17;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
dbuser90;Alert Description: Authorized User Changed | Alert ID: 503848 | DB User Name: \ user366;13.10.2026 19:44;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
keskinme;Alert Description: Trigger Activities - All Database | Alert ID: 523859 | DB User Name: \ user256;24.06.2025 21:28;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
keskinme;Alert Description: KT Yakut Kritik Objeler | Alert ID: 533025 | DB User Name: \ user243;28.12.2026 04:31;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
keskinme;SRVDNZ Kritik Objeler;3.05.2026 07:59;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
rsayin;Alert Description: Trigger Activities - All Database | Alert ID: 575081 | DB User Name: \ user283;14.06.2025 14:28;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
appuser;DENIZ Kritik Objeler;17.01.2026 07:55;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
appuser;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user281;20.01.2025 03:17;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
keskinme;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user115;9.06.2026 18:36;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
admin59;Alert Description: Authorized User Changed | Alert ID: 577792 | DB User Name: \ user387;14.04.2026 14:50;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
rsayin;ATLAS Kritik Objeler;18.01.2026 07:47;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
tyilmaz;ATLAS Kritik Objeler;25.05.2026 03:28;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
appuser;ATLAS Kritik Objeler;20.12.2026 09:23;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
keskinme;Alert Description: Authorized User Changed | Alert ID: 568284 | DB User Name: \ user354;13.08.2025 13:50;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
dbuser81;Alert Description: Authorized User Changed | Alert ID: 565162 | DB User Name: \ user252;15.07.2025 02:21;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
dbuser48;Alert Description: Authorized User Changed | Alert ID: 541308 | DB User Name: \ user84;1.02.2026 22:13;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
dbuser1;ATLAS Kritik Objeler;12.11.2026 13:01;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
scakici;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user275;28.08.2025 22:16;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
appuser;Alert Description: KT Yakut Kritik Objeler | Alert ID: 533225 | DB User Name: \ user324;13.02.2026 16:03;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
scakici;Alert Description: Trigger Activities - All Database | Alert ID: 586036 | DB User Name: \ user136;2.09.2026 19:47;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
dbuser48;Alert Description: Trigger Activities - All Database | Alert ID: 575946 | DB User Name: \ user219;14.03.2025 08:26;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
dbuser72;DENIZ Kritik Objeler;6.08.2026 08:33;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
scakici;DENIZ Kritik Objeler;9.10.2026 03:15;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
dbuser63;ATLAS Kritik Objeler;17.02.2025 18:15;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
dbuser56;ATLAS Kritik Objeler;26.10.2026 23:46;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
keskinme;ATLAS Kritik Objeler;17.03.2025 02:06;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
admin26;Alert Description: Trigger Activities - All Database | Alert ID: 585833 | DB User Name: \ user265;22.08.2026 00:26;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
appuser;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user12;24.02.2026 11:27;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
tyilmaz;DENIZ Kritik Objeler;24.03.2025 19:30;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
dbuser59;Alert Description: Authorized User Changed | Alert ID: 505060 | DB User Name: \ user367;29.11.2026 23:54;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
scakici;Alert Description: KT Yakut Kritik Objeler | Alert ID: 522466 | DB User Name: \ user234;18.03.2026 20:49;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
keskinme;Alert Description: Authorized User Changed | Alert ID: 543110 | DB User Name: \ user73;31.05.2025 18:08;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
audituser;Alert Description: Trigger Activities - All Database | Alert ID: 534434 | DB User Name: \ user347;6.12.2025 02:21;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
admin90;Alert Description: KT Yakut Kritik Objeler | Alert ID: 507110 | DB User Name: \ user230;7.08.2026 01:54;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
dbuser76;DENIZ Kritik Objeler;14.07.2025 23:28;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
appuser;ATLAS Kritik Objeler;30.10.2025 15:39;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
tyilmaz;Alert Description: Trigger Activities - All Database | Alert ID: 531667 | DB User Name: \ user330;20.02.2025 17:44;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
dbuser87;DENIZ Kritik Objeler;12.06.2026 18:23;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
tyilmaz;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user98;25.04.2025 05:45;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
tyilmaz;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user225;11.10.2025 02:13;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
rsayin;Alert Description: KT Yakut Kritik Objeler | Alert ID: 531541 | DB User Name: \ user360;19.05.2026 01:26;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
tyilmaz;Alert Description: Authorized User Changed | Alert ID: 588836 | DB User Name: \ user153;6.05.2026 10:07;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
tyilmaz;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user177;23.04.2025 00:54;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
scakici;ATLAS Kritik Objeler;18.04.2025 10:58;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
audituser;Alert Description: Trigger Activities - All Database | Alert ID: 574662 | DB User Name: \ user421;27.11.2025 04:44;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
admin71;SRVDNZ Kritik Objeler;15.01.2026 14:35;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
scakici;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user372;25.12.2026 15:22;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
dbuser20;ATLAS Kritik Objeler;16.06.2025 02:47;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
keskinme;SRVDNZ Kritik Objeler;15.09.2025 05:33;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
audituser;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user185;22.02.2026 15:44;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
keskinme;SRVDNZ Kritik Objeler;24.01.2026 05:06;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
rsayin;SRVDNZ Kritik Objeler;28.04.2025 22:19;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
audituser;Alert Description: Trigger Activities - All Database | Alert ID: 524460 | DB User Name: \ user102;16.06.2026 13:46;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
keskinme;SRVDNZ Kritik Objeler;28.09.2025 09:18;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
audituser;Alert Description: KT Yakut Kritik Objeler | Alert ID: 571864 | DB User Name: \ user262;4.07.2026 06:38;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
scakici;SRVDNZ Kritik Objeler;24.06.2026 07:06;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
keskinme;ATLAS Kritik Objeler;22.03.2026 09:20;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
appuser;Alert Description: Trigger Activities - All Database | Alert ID: 589691 | DB User Name: \ user60;20.05.2025 12:35;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
rsayin;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user79;3.05.2026 06:02;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
dbuser91;Alert Description: KT Yakut Kritik Objeler | Alert ID: 586126 | DB User Name: \ user463;26.03.2026 23:46;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
keskinme;Alert Description: KT Yakut Kritik Objeler | Alert ID: 567559 | DB User Name: \ user441;25.11.2026 19:08;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
dbuser83;SRVDNZ Kritik Objeler;2.12.2026 05:26;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
appuser;Alert Description: Authorized User Changed | Alert ID: 529774 | DB User Name: \ user404;31.07.2026 09:28;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
keskinme;Alert Description: Trigger Activities - All Database | Alert ID: 547203 | DB User Name: \ user389;25.07.2025 19:06;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
tyilmaz;Alert Description: KT Yakut Kritik Objeler | Alert ID: 543600 | DB User Name: \ user245;3.04.2025 03:06;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
admin86;Alert Description: KT Yakut Kritik Objeler | Alert ID: 591950 | DB User Name: \ user191;6.12.2026 20:15;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
appuser;Alert Description: Trigger Activities - All Database | Alert ID: 558074 | DB User Name: \ user199;3.10.2026 22:34;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
audituser;SRVDNZ Kritik Objeler;1.08.2026 11:44;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
dbuser89;Alert Description: KT Yakut Kritik Objeler | Alert ID: 586859 | DB User Name: \ user21;16.12.2025 21:33;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
appuser;Alert Description: Authorized User Changed | Alert ID: 545161 | DB User Name: \ user47;10.06.2026 03:12;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
dbuser18;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user28;19.12.2026 01:55;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
appuser;SRVDNZ Kritik Objeler;26.10.2026 21:58;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
appuser;Alert Description: KT Yakut Kritik Objeler | Alert ID: 580161 | DB User Name: \ user462;27.07.2025 11:16;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
rsayin;DENIZ Kritik Objeler;30.01.2026 15:25;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
audituser;DENIZ Kritik Objeler;7.05.2025 13:38;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
keskinme;SRVDNZ Kritik Objeler;17.02.2025 13:55;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
rsayin;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user46;27.01.2026 05:07;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
appuser;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user350;30.11.2025 00:42;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
keskinme;SRVDNZ Kritik Objeler;21.09.2025 23:20;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
scakici;Alert Description: KT Yakut Kritik Objeler | Alert ID: 533991 | DB User Name: \ user171;27.08.2025 22:01;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
tyilmaz;SRVDNZ Kritik Objeler;6.08.2025 11:21;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
audituser;Alert Description: Authorized User Changed | Alert ID: 594114 | DB User Name: \ user234;25.01.2026 04:26;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
tyilmaz;SRVDNZ Kritik Objeler;11.06.2025 14:37;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
rsayin;Alert Description: Trigger Activities - All Database | Alert ID: 505339 | DB User Name: \ user142;27.03.2025 09:58;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
appuser;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user442;11.09.2026 19:58;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
rsayin;ATLAS Kritik Objeler;10.06.2026 12:46;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
appuser;Alert Description: Trigger Activities - All Database | Alert ID: 550391 | DB User Name: \ user94;7.12.2025 03:03;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
rsayin;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user62;22.02.2025 13:21;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
tyilmaz;Alert Description: Trigger Activities - All Database | Alert ID: 524835 | DB User Name: \ user331;20.11.2025 08:42;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
tyilmaz;Alert Description: KT Yakut Kritik Objeler | Alert ID: 575737 | DB User Name: \ user364;6.12.2026 09:54;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
audituser;Alert Description: KT Yakut Kritik Objeler | Alert ID: 541458 | DB User Name: \ user494;25.01.2026 12:57;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
audituser;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user491;19.03.2026 19:20;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
keskinme;DENIZ Kritik Objeler;7.04.2026 08:42;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
dbuser47;Alert Description: Authorized User Changed | Alert ID: 529605 | DB User Name: \ user25;15.09.2025 03:14;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
rsayin;Alert Description: KT Yakut Kritik Objeler | Alert ID: 577616 | DB User Name: \ user311;9.04.2026 01:52;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
scakici;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user222;18.10.2025 05:21;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
appuser;Alert Description: KT Yakut Kritik Objeler | Alert ID: 570562 | DB User Name: \ user19;24.03.2025 10:56;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
audituser;Alert Description: KT Yakut Kritik Objeler | Alert ID: 520450 | DB User Name: \ user414;24.04.2025 21:25;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;High
dbuser61;Alert Description: KT Yakut Kritik Objeler | Alert ID: 542084 | DB User Name: \ user152;8.11.2026 12:55;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;High
admin23;DENIZ Kritik Objeler;12.01.2026 00:56;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
admin98;DENIZ Kritik Objeler;7.12.2026 02:20;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
appuser;ATLAS Kritik Objeler;19.09.2026 23:24;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
rsayin;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user494;18.10.2026 13:07;SOC Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Medium
dbuser78;SRVDNZ Kritik Objeler;30.01.2026 11:04;BT Operasyonlarý;Deneme amaçlý sentetik kayýttýr.;Low
admin58;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user96;9.03.2025 12:43;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Low
scakici;Alert Description: Authorized User Changed | Alert ID: 527661 | DB User Name: \ user266;7.01.2025 02:02;Kimlik Eriþim Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
scakici;Splunk Alert Description: DB Failed Login Alert | DB User Name: \ user147;2.09.2025 12:13;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
appuser;SRVDNZ Kritik Objeler;10.10.2026 12:58;Veri Güvenliði Yönetimi;Deneme amaçlý sentetik kayýttýr.;Medium
